paper_title,author_names,year,publication_venue,index
effici irstyl keyword search over relat databa,"vagelis hristidis, luis gravano, yannis papakonstantinou",2003,vldb 03 proceed of the 29th intern confer on veri larg data base volum 29,53909f8c20f70186a0e3fe6a
chipsecur data access reconcil access right with data encrypt,"luc bouganim, françois dang ngoc, philippe pucheral, lilan wu",2003,vldb 03 proceed of the 29th intern confer on veri larg data base volum 29,53909f8c20f70186a0e3fe95
data stream queri process a tutori,"nick koudas, divesh srivastava",2003,vldb 03 proceed of the 29th intern confer on veri larg data base volum 29,53909f8c20f70186a0e3fe9a
grid data manag system servic,"arun jagatheesan, reagan moore, norman w. paton, paul watson",2003,vldb 03 proceed of the 29th intern confer on veri larg data base volum 29,53909f8c20f70186a0e3fe9b
quiet continu querydriven index tune,"kai-uwe sattler, ingolf geist, eike schallehn",2003,vldb 03 proceed of the 29th intern confer on veri larg data base volum 29,53909f8c20f70186a0e3fe94
the semant web semant for data on the web,"stefan decker, vipul kashyap",2003,vldb 03 proceed of the 29th intern confer on veri larg data base volum 29,53909f8c20f70186a0e3fe99
atlas a small but complet sql exten for data mine and data stream,"haixun wang, carlo zaniolo, chang richard luo",2003,vldb 03 proceed of the 29th intern confer on veri larg data base volum 29,53909f8c20f70186a0e3fe90
lock protocol for materi aggreg join view,"gang luo, jeffrey f. naughton, curt j. ellmann, michael w. watzke",2003,vldb 03 proceed of the 29th intern confer on veri larg data base volum 29,53909f8c20f70186a0e3fe55
stopss semant toronto publishsubscrib system,"milenko petrovic, ioana burcea, hans-arno jacobsen",2003,vldb 03 proceed of the 29th intern confer on veri larg data base volum 29,53909f8c20f70186a0e3fe8d
implement xqueri 10 the galax experi,"mary fernández, jérôme siméon, byron choi, amélie marian, gargi sur",2003,vldb 03 proceed of the 29th intern confer on veri larg data base volum 29,53909f8c20f70186a0e3fe87
oper schedul in a data stream manag,"don carney, uğur çetintemel, alex rasin, stan zdonik, mitch cherniack, mike stonebraker",2003,vldb 03 proceed of the 29th intern confer on veri larg data base volum 29,53909f8c20f70186a0e3fe69
xquec push queri to compress xml data,"andrei arion, angela bonifati, gianni costa, sandra d'aguanno, ioana manolescu, andrea pugliese",2003,vldb 03 proceed of the 29th intern confer on veri larg data base volum 29,53909f8c20f70186a0e3fe84
a depend benchmark for oltp applic environ,"marco vieira, henrique madeira",2003,vldb 03 proceed of the 29th intern confer on veri larg data base volum 29,53909f8c20f70186a0e3fe61
the zerodelay data wareh mobil heterogen databa,eva kühn,2003,vldb 03 proceed of the 29th intern confer on veri larg data base volum 29,53909f8c20f70186a0e3fe7d
merg model base on given correspond,"rachel a. pottinger, philip a. bernstein",2003,vldb 03 proceed of the 29th intern confer on veri larg data base volum 29,53909f8c20f70186a0e3fe6b
integr data manag for mobil servic in the real world,"c. hage, c. s. jensen, t. b. pedersen, l. speicys, i. timko",2003,vldb 03 proceed of the 29th intern confer on veri larg data base volum 29,53909f8c20f70186a0e3fe79
cach tabl pave the way for an adapt databa cach,"mehmet altinel, christof bornhövd, sailesh krishnamurthy, c. mohan, hamid pirahesh, berthold reinwald",2003,vldb 03 proceed of the 29th intern confer on veri larg data base volum 29,53909f8c20f70186a0e3fe5f
xml schema in oracl xml db,"ravi murthy, sandeepan banerjee",2003,vldb 03 proceed of the 29th intern confer on veri larg data base volum 29,53909f8c20f70186a0e3fe78
web servic industri session,l. f. cabrera,2003,vldb 03 proceed of the 29th intern confer on veri larg data base volum 29,53909f8c20f70186a0e3fe7a
commerci use of databa technolog,harald schöning,2003,vldb 03 proceed of the 29th intern confer on veri larg data base volum 29,53909f8c20f70186a0e3fe7c
grid and applic industri session,frank leymann,2003,vldb 03 proceed of the 29th intern confer on veri larg data base volum 29,53909f8c20f70186a0e3fe7b
primit for workload summar and implic for sql,"surajit chaudhuri, prasanna ganesan, vivek narasayya",2003,vldb 03 proceed of the 29th intern confer on veri larg data base volum 29,53909f8c20f70186a0e3fe60
multisc histogram summar topolog relat in larg spatial dataset,"xuemin lin, qing liu, yidong yuan, xiaofang zhou",2003,vldb 03 proceed of the 29th intern confer on veri larg data base volum 29,53909f8c20f70186a0e3fe67
estim the output cardin of partial preaggreg with a measur of cluster,"sven helmer, thomas neumann, guido moerkotte",2003,vldb 03 proceed of the 29th intern confer on veri larg data base volum 29,53909f8c20f70186a0e3fe5a
proceed of the thirtieth intern confer on veri larg data base volum 30,"mario a. nascimento, m. tamer özsu, donald kossmann, renée j. miller, josé a. blakeley, k. bernhard schiefer",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e4018b
databa in a wireless world,david yach,2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e4018c
whither data mine,"rakesh agrawal, ramakrishnan srikant",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e4018e
practic suffix tree construct,"sandeep tata, richard a. hankins, jignesh m. patel",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e40191
clientba access control manag for xml document,"luc bouganim, françois dang ngoc, philippe pucheral",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e40195
answer xpath queri over network by send minim view,"keishi tajima, yoshiki fukui",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e40192
tame xpath queri by minim wildcard step,"chee-yong chan, wenfei fan, yiming zeng",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e4019b
compress larg boolean matric use reorder techniqu,"david johnson, shankar krishnan, jatin chhugani, subodh kumar, suresh venkatasubramanian",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e4018f
the next framework for logic xqueri optim,"alin deutsch, yannis papakonstantinou, yu xu",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e4019c
secur xml publish without inform leakag in the presenc of data infer,"xiaochun yang, chen li",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e40196
effici xmltosql queri translat where to add the intellig,"rajasekar krishnamurthy, raghav kaushik, jeffrey f. naughton",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e4019a
fal posit or fal negat mine frequent itemset from high speed transact data stream,"jeffery xu yu, zhihong chong, hongjun lu, aoying zhou",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e4019f
from xml view updat to relat view updat old solut to a new problem,"vanessa p. braganholo, susan b. davidson, carlos a. heuser",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401a5
a framework for use materi xpath view in xml queri process,"andrey balmin, fatma özcan, kevin s. beyer, roberta j. cochrane, hamid pirahesh",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e40193
bloom histogram path select estim for xml data with updat,"wei wang, haifeng jiang, hongjun lu, jeffrey xu yu",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401a2
limit disclosur in hippocrat databa,"kristen lefevre, rakesh agrawal, vuk ercegovac, raghu ramakrishnan, yirong xu, david dewitt",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e40197
rox relat over xml,"alan halverson, vanja josifovski, guy lohman, hamid pirahesh, mathias mörschel",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401a4
schemaba schedul of event processor and buffer minim for queri on structur data stream,"christoph koch, stefanie scherzinger, nicole schweikardt, bernhard stegmaier",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401a1
memorylimit execut of window stream join,"utkarsh srivastava, jennifer widom",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401a9
wic a generalpurpo algorithm for monitor web inform sourc,"sandeep pandey, kedar dhamdhere, christopher olston",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401ac
accur and effici crawl for relev websit,"martin ester, hans-peter kriegel, matthias schubert",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401af
xqueri on sql host,"torsten grust, sherif sakr, jens teubner",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401a3
detect chang in data stream,"daniel kifer, shai ben-david, johannes gehrke",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e4019d
networkawar queri process for streamba applic,"yanif ahmad, uğur çetintemel",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401b4
the polynomi complex of fulli materi coalesc cube,"yannis sismanis, nick roussopoulos",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401bb
comput pagerank in a distribut internet search system,"yuan wang, david j. dewitt",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401b1
instanceba schema match for web databa by domainspecif queri probe,"jiying wang, ji-rong wen, fred lochovsky, wei-ying ma",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401b0
queri languag and data model for databa sequenc and data stream,"yan-nei law, haixun wang, carlo zaniolo",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401b7
highdimens olap a minim cube approach,"xiaolei li, jiawei han, hector gonzalez",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401ba
efficiencyqu tradeoff for vector score aggreg,"pavan kumar c. singitham, mahathi s. mahabhashyam, prabhakar raghavan",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401c2
merg the result of approxim match oper,"sudipto guha, nick koudas, amit marathe, divesh srivastava",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401c3
step toward cacheresid transact process,"stavros harizopoulos, anastassia ailamaki",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401c5
clotho decoupl memori page layout from storag organ,"minglong shao, jiri schindler, steven w. schlosser, anastassia ailamaki, gregory r. ganger",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401c8
toward an internetsc xml dissemin servic,"yanlei diao, shariq rizvi, michael j. franklin",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401c1
cacheconsci radixdeclust project,"stefan manegold, peter boncz, niels nes, martin kersten",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401c7
resili right protect for sensor stream,"radu sion, mikhail atallah, sunil prabhakar",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401cb
writeoptim btree,goetz graefe,2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401c6
vision paper enabl privaci for the paranoid,"g. aggarwal, m. bawa, p. ganesan, h. garcia-molina, k. kenthapadi, n. mishra, r. motwani, u. srivastava, d. thomas, j. widom, y. xu",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401c9
objectrank authorityba keyword search in databa,"andrey balmin, vagelis hristidis, yannis papakonstantinou",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401bd
similar search for web servic,"xin dong, alon halevy, jayant madhavan, ema nemes, jun zhang",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401ad
a privacypreserv index for rang queri,"bijit hore, sharad mehrotra, gene tsudik",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401ca
rever knn search in arbitrari dimens,"yufei tao, dimitris papadias, xiang lian",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401cc
onlin balanc of rangepartit data with applic to peertop system,"prasanna ganesan, mayank bawa, hector garcia-molina",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401b3
linear road a stream data manag benchmark,"arvind arasu, mitch cherniack, eduardo galvez, david maier, anurag s. maskey, esther ryvkina, michael stonebraker, richard tibbetts",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401b6
griddb a datacentr overlay for scientif grid,"david t. liu, michael j. franklin",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401c0
audit complianc with a hippocrat databa,"rakesh agrawal, roberto bayardo, christos faloutsos, jerry kiernan, ralf rantzau, ramakrishnan srikant",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401b9
modeldriven data acquisit in sensor network,"amol deshpande, carlos guestrin, samuel r. madden, joseph m. hellerstein, wei hong",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401bf
relat linkba rank,"floris geerts, heikki mannila, evimaria terzi",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401bc
tamper detect in audit log,"richard t. snodgrass, shilong stanley yao, christian collberg",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401b8
enhanc p2p fileshar with an internetsc queri processor,"boon thau loo, joseph m. hellerstein, ryan huebsch, scott shenker, ion stoica",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401b2
schemafr xqueri,"yunyao li, cong yu, h. v. jagadish",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e40194
combat web spam with trustrank,"zoltán gyöngyi, hector garcia-molina, jan pedersen",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401be
data share through queri translat in autonom sourc,"anastasios kementsietsidis, marcelo arenas",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401b5
awesom a data warehouseba system for adapt websit recommend,"andreas thor, erhard rahm",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401ae
rehist relat error histogram construct algorithm,"sudipto guha, kyuseok shim, jungchul woo",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401a7
resourc share in continu slidingwindow aggreg,"arvind arasu, jennifer widom",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401aa
remembr of stream past overloadsensit manag of archiv stream,"sirish chandrasekaran, michael franklin",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401ab
xwave optim and approxim extend wavelet,"sudipto guha, chulyun kim, kyuseok shim",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401a6
distribut setexpress cardin estim,"abhinandan das, sumit ganguly, minos garofalakis, rajeev rastogi",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401a8
index tempor xml document,"alberto o. mendelzon, flavio rizzolo, alejandro vaisman",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401a0
on test satisfi of tree pattern queri,"laks v. s. lakshmanan, ganesh ramesh, hui wang, zheng zhao",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e40198
on the perform of bitmap indic for high cardin attribut,"kesheng wu, ekow otoo, arie shoshani",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e40190
stochast consist and scalabl pullba cach for errat data stream sourc,"shanzhong zhu, chinya v. ravishankar",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e4019e
contain of nest xml queri,"xin dong, alon y. halevy, igor tatarinov",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e40199
structur semant and statist,alon y. halevy,2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e4018d
topk queri evalu with probabilist guarant,"martin theobald, gerhard weikum, ralf schenkel",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401c4
object fusion in geograph inform system,"catriel beeri, yaron kanza, eliyahu safra, yehoshua sagiv",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401d2
algebra manipul of scientif dataset,"bill howe, david maier",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401db
symmetr relat and cardinalitybound multiset in databa system,"kenneth a. ross, julia stoyanovich",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401da
automat sql tune in oracl 10g,"benoit dageville, dinesh das, karl dias, khaled yagoub, mohamed zait, mohamed ziauddin",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401ea
technolog challeng in a data wareh,ramesh bhashyam,2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401f7
biopatentmin an inform retriev system for biom patent,"sougata mukherjea, bhuvan bamba",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401e7
probabilist rank of databa queri result,"surajit chaudhuri, gautam das, vagelis hristidis, gerhard weikum",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401d8
where is busi intellig take today databa system,"william o'connell, andy witkowski, ramesh bhashyam, surajit chauduri",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401fa
secur of share data in larg system state of the art and research direct,"arnon rosenthal, marianne winslett",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401fc
generat thousand benchmark queri in second,"meikel poess, john m. stephens, jr.",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401e5
autom design of multidimens cluster tabl for relat databa,"sam s. lightstone, bishwaranjan bhattacharjee",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401ef
a uniform system for publish and maintain xml data,"byron choi, wenfei fan, xibei jia, arek kasprzyk",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e4020d
queri and updat in the codb peer to peer databa system,"enrico franconi, gabriel kuper, andrei lopatenko, ilya zaihrayeu",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e40207
a combin framework for group and order optim,"thomas neumann, guido moerkotte",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401de
an electron patient record on steroid distribut peertop secur and privacyconsci,"serge abiteboul, bogdan alexe, omar benjelloun, bogdan cautis, irini fundulaki, tova milo, arnaud sahuguet",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e40206
compass a conceptba web search engin for html xml and deep web data,"jens graupmann, michael biwer, christian zimmer, patrick zimmer, matthias bender, martin theobald, gerhard weikum",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e40210
discov and rank semant associ over a larg rdf metaba,"chris halaschek, boanerges aleman-meza, i. budak arpinar, amit p. sheth",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e40211
voronoiba k nearest neighbor search for spatial network databa,"mohammad kolahdouzan, cyrus shahabi",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401d4
index xml data store in a relat databa,"shankar pal, istvan cseri, oliver seeliger, gideon schaller, leo giakoumakis, vasili zolotov",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401ed
ptime high scalabl oltp dbms for manag updateinten stream workload,"sang k. cha, changbin song",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401e4
on the marriag of lpnorm and edit distanc,"lei chen, raymond ng",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401d0
support ontologyba semant match in rdbms,"souripriya das, eugene inseok chong, george eadon, jaannathan srinivasan",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401e6
mainten of spatial semijoin queri on move point,"glenn s. iwerks, hanan samet, kenneth p. smith",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401d3
hardwar accel in commerci databa a case studi of spatial oper,"nagender bandi, chengyu sun, divyakant agrawal, amr el abbadi",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401e3
index larg humanmot databa,"eamonn keogh, themistoklis palpanas, victor b. zordan, dimitrios gunopulos, marc cardle",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401cf
approxim nn queri on stream with guarant errorperform bound,"nick koudas, beng chin ooi, kian-lee tan, rui zhang",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401d1
a multipurpo implement of mandatori access control in relat databa manag system,"walid rjaibi, paul bird",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401e2
multiobject queri process for databa system,"wolf-tilo balke, ulrich güntzer",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401dc
return modifi row select statement with side effect,"andreas behm, serge rielau, richard swagerman",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401e0
lift the burden of histori from adapt queri process,"amol deshpande, joseph m. hellerstein",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401dd
gorder an effici method for knn join process,"chenyi xia, hongjun lu, beng chin ooi, jing hu",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401cd
an integr framework for sensor network and data stream manag system,"daniel j. abadi, wolfgang lindner, samuel madden, jörg schuler",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e4021c
bilvideo video databa manag system,"özgür ulusoy, uğur güdükbay, mehmet emin dönderler, ediz saykol, cemil alper",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e4021f
aida an adapt immer data analyz,"mehdi sharifzadeh, cyrus shahabi, bahareh navai, farid parvini, albert a. rizzo",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e4021e
cape continu queri engin with heterogeneousgrain adapt,"elke a. rundensteiner, luping ding, timothy sutherland, yali zhu, brad pielech, nishant mehta",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e4021a
qstream determinist queri of data stream,"sven schmidt, henrike berthold, wolfgang lehner",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e4021d
hifi a unifi architectur for high fanin system,"owen cooper, anil edakkunni, michael j. franklin, wei hong, shawn r. jeffery, sailesh krishnamurthy, fredrick reiss, shariq rizvi, eugene wu",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e4021b
chicago a test and evalu environ for coarsegrain optim,"tobias kraft, holger schwarz",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e40218
svt schema valid tool for microsoft sqlserver,"ernest teniente, carles farré, toni urpí, carlos beltrán, david gañán",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e40219
trustserv a lightweight trust negoti servic,"halvard skogsrud, boualem benatallah, fabio casati, manh q. dinh",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e40214
green queri optim tame queri optim overhead through plan recycl,"parag sarda, jayant r. haritsa",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e40215
an automat data grabber for larg web site,"valter crescenzi, giansalvatore mecca, paolo merialdo, paolo missier",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e40212
cord automat generat of correl statist in db2,"ihab f. ilyas, volker markl, peter j. haas, paul g. brown, ashraf aboulnaga",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e40217
progress optim in action,"vijayshankar raman, volker markl, david simmen, guy lohman, hamid pirahesh",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e40216
wscatalognet an infrastructur for creat peer and queri ecatalog communiti,"karim baïna, boualem benatallah, hye-young paik, farouk toumani, christophe rey, agnieszka rutkowska, bryan harianto",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e40213
manag rfid data,"sudarshan s. chawathe, venkat krishnamurthy, sridhar ramachandran, sanjay sarma",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401f1
fluxqueri an optim xqueri processor for stream xml data,"christoph koch, stefanie scherzinger, nicole schweikardt, bernhard stegmaier",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e4020f
semant queri optim in an automataalgebra combin xqueri engin over xml stream,"hong su, elke a. rundensteiner, murali mani",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e4020b
shrex manag xml document in relat databa,"fang du, sihem amer-yahia, juliana freire",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e4020c
selfmanag technolog in databa manag system,"surajit chaudhuri, benoit dageville, guy lohman",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401fd
an inject with tree awar ad stairca join to postgresql,"sabine mayer, torsten grust, maurice van keulen, jens teubner",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e4020e
streammin a classifi ensembleba engin to mine conceptdrift data stream,wei fan,2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e40202
effici constraint process for high person locat base servic,"zhengdao xu, hans-arno jacobsen",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e40209
hosmin a system for detect outlyt subspac of highdimens data,"ji zhang, meng lou, tok wang ling, hai wang",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e40204
viztr a tool for visual mine and monitor massiv time seri databa,"jessica lin, eamonn keogh, stefano lonardi, jeffrey p. lankford, daonna m. nystrom",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e40205
lhrs a high avail distribut data storag,"witold litwin, rim moussa, thomas j. e. schwarz",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e4020a
integr automat data acquisit with busi process experi with sap autoid infrastructur,"christof bornhövd, tao lin, stephan haller, joachim schaper",2004,vldb 04 proceed of the thirtieth intern confer on veri larg data base volum 30,53909f8c20f70186a0e401f0
