paper_title,author_names,year,publication_venue,index
the datacentr revolut in network,scott shenker,2003,vldb,53e9b19cb7602d9703c2527c
effici approxim of optim queri under parametr aggreg constraint,"sudipto guha, dimitrios gunopulos, nick koudas, divesh srivastava, michail vlachos",2003,vldb,53e9b641b7602d970419d437
novel approach in queri process for move object trajectori,"dieter pfoser, christian s. jensen, yannis theodoridis",2000,vldb,53e9b607b7602d970415bd12
wireless graffiti data data everywher matter,"tomasz imielinski, b. r. badrinath",2002,vldb,53e99beab7602d9702493846
avoid order and group in queri process,"xiaoyu wang, mitch cherniack",2003,vldb,53e9b929b7602d970451535e
wic a generalpurpos algorithm for monitor web inform sourc,"sandeep pandey, kedar dhamdhere, christopher olston",2004,vldb,53e9b0c2b7602d9703b34a47
nestream queri nest stream,"damianos chatziantoniou, achilleas anagnostopoulos",2004,sigmod record,53e99a78b7602d97022e901f
optim of data stream process,"janusz r. getta, ehsan vossough",2004,sigmod record,53e9aeebb7602d9703917def
digit librari servic in mobil comput,"bharat k. bhargava, melliyal annamalai, evaggelia pitoura",1995,sigmod record,53e9b2f9b7602d9703db8ef9
inform rule,dale a. stirling,2003,sigmod record,53e997b9b7602d9701f9d978
semistructur und structur data in the web go back and forth,"paolo atzeni, giansalvatore mecca, paolo merialdo",1997,sigmod record,53e9a36db7602d9702c77750
semant integr of semistructur and structur data sourc,"sonia bergamaschi, silvana castano, maurizio vincini",1999,sigmod record,53e9b40eb7602d9703f006b9
editor note,ling liu,2002,sigmod record,53e99800b7602d970200b603
editor note,michael j. franklin,1998,sigmod record,53e99800b7602d970200b5fd
foundat of statist natur languag process book review,gerhard weikum,2002,sigmod record,53e9bd1db7602d97049a50d0
sql 1999 former known as sql 3,"andrew eisenberg, jim melton",1999,sigmod record,53e9a480b7602d9702d9b138
the p oper discov and rank associ on the semant web,"kemafor anyanwu, amit p. sheth",2002,sigmod record,53e99a3cb7602d9702299fe9
fintim a financi time seri benchmark,"kaippallimalil j. jacob, dennis shasha",1999,sigmod record,53e9aa2cb7602d970339bf14
workshop report on experi use object data manag in the realworld,akmal b. chaudhri,1998,sigmod record,53e99d58b7602d9702613e02
the asilomar report on databas research,"philip a. bernstein, michael l. brodie, stefano ceri, david j. dewitt, michael j. franklin, hector garcia-molina, jim gray, gerald held, joseph m. hellerstein, h. v. jagadish, michael lesk, david maier, jeffrey f. naughton, hamid pirahesh, michael stonebraker, jeffrey d. ullman",1998,sigmod record,53e9afeeb7602d9703a429c6
toward onlin analyt mine in larg databas,jiawei han,1998,sigmod record,53e9a52cb7602d9702e5083b
editor note,ling liu,2003,sigmod record,53e99800b7602d970200b604
reconsid multidimension schema,tim martyn,2004,sigmod record,53e99afeb7602d970238d25a
chair messag,richard t. snodgrass,1998,sigmod record,53e99809b7602d970201f8e3
report on the 24th european colloquium on inform retriev research,"fabio crestani, mark girolami",2002,sigmod record,53e9a7c1b7602d9703101656
parameter complex for the databas theorist,martin grohe,2002,sigmod record,53e9a31eb7602d9702c266ab
editor note,michael j. franklin,1998,sigmod record,53e99800b7602d970200b5fd
edbt04 workshop on databas technolog for handl xml inform on the web,"marco mesiti, barbara catania, giovanna guerrini, akmal b. chaudhri",2004,sigmod record,53e9b2dbb7602d9703d91bc7
predat a resourc for databas research,praveen seshadri,1998,sigmod record,53e9a699b7602d9702fcd165
reason on regular path queri,"diego calvanese, giuseppe de giacomo, maurizio lenzerini, moshe y. vardi",2003,sigmod record,53e9ad68b7602d970374f0fd
editor note,ling liu,2003,sigmod record,53e99800b7602d970200b60a
databas research at the univers of oklahoma,"le gruenwald, leonard brown, ravi a. dirckze, sylvain guinepain, carlos sánchez, brian summers, sirirut vanichayobon",1999,sigmod record,53e9aa66b7602d97033d942d
call for paper and announc,unamed,1995,sigmod record,53e9ac28b7602d97035ed764
editor note,michael j. franklin,1998,sigmod record,53e99800b7602d970200b5fd
a conceptu architectur for semant web enabl web servic,"christoph bussler, dieter fensel, alexander maedche",2002,sigmod record,53e99d96b7602d9702655648
research issu in feder databas system report of efdb 97 workshop,"stefan conrad, barry eaglestone, wilhelm hasselbring, mark roantree, fèlix saltor, martin schönhoff, markus strässler, mark w. w. vermeer",1997,sigmod record,53e9b33db7602d9703e0f3ee
firstclass view a key to usercent comput,"arnon rosenthal, edward sciore",1999,sigmod record,53e9a61fb7602d9702f4b489
bluetoothbas sensor network,"philippe bonnet, allan beaufour, mads bondo dydensborg, martin leopold",2003,sigmod record,53e99a0eb7602d970225f6a1
the databas group at nation technic univers of athen ntua,"timos k. sellis, yannis vassiliou",1995,sigmod record,53e9adcdb7602d97037d291a
the fiveminut rule ten year later and other comput storag rule of thumb,"jim gray, goetz graefe",1997,sigmod record,53e9a67cb7602d9702fae348
chang to the acm tod editori board,richard t. snodgrass,2004,sigmod record,53e9a38fb7602d9702ca038a
support global user profil through trust author,ibrahim cingil,2002,sigmod record,53e9b388b7602d9703e6a0ee
inform integr on the web a view from ai and databas report on iiweb03,"subbarao kambhampati, craig a. knoblock",2003,sigmod record,53e9b587b7602d97040c8e5d
agentori softwar engin report on the 4th aos workshop aos 2003,paolo giorgini,2003,sigmod record,53e9b550b7602d970408b42c
repositori and object orient databas,philip a. bernstein,1998,sigmod record,53e9ade2b7602d97037ec4ae
journal relev,richard t. snodgrass,2003,sigmod record,53e997b5b7602d9701f96d88
reminisc on influenti paper,"kenneth a. ross, frank neven, beng chin ooi",2003,sigmod record,53e99b0ab7602d970239c211
continu queri over data stream,"shivnath babu, jennifer widom",2001,sigmod record,53e9ac7bb7602d97036524b7
the cougar project a workinprogress report,"alan j. demers, johannes gehrke, rajmohan rajaraman, agathoniki trigoni, yong yao",2003,sigmod record,53e9bb08b7602d97047405ad
chair messag,richard t. snodgrass,1999,sigmod record,53e99809b7602d970201f8e3
data analysi and mine in the life scienc,nam huyn,2001,sigmod record,53e9b46fb7602d9703f703d9
treasur messag,joachim hammer,2001,sigmod record,53e9984fb7602d970208510b
improv access to environment data use context inform,"anthony tomasic, eric simon",1997,sigmod record,53e9a839b7602d970318585a
hector garciamolina speak out,marianne winslett,2002,sigmod record,53e9aa1db7602d970338abf3
multit join through bitmap join indic,"patrick e. o'neil, goetz graefe",1995,sigmod record,53e9ba65b7602d9704683904
a queri languag for a websit manag system,"mary f. fernandez, daniela florescu, alon y. levy, dan suciu",1997,sigmod record,53e9ab48b7602d97034d8db1
an annot bibliographi on realtim databas system,özgür ulusoy,1995,sigmod record,53e99cd1b7602d9702583fd1
letter to sigmod record editor,nazih elderini,2002,sigmod record,53e9af68b7602d97039ab743
realtim databas similar semant and resourc schedul,"tei-wei kuo, aloysius k. mok",1996,sigmod record,53e99f35b7602d9702805451
semant web workshop model architectur and manag,"panos constantopoulos, vassilis christophides, dimitris plexousakis",2001,sigmod record,53e9a5beb7602d9702ee5180
preserv of digit data with selfvalid selfinstanti knowledgebas archiv,"bertram ludäscher, richard marciano, reagan moore",2001,sigmod record,53e9b6abb7602d970422aac5
an annot bibliographi on activ databas,"ulrike jaeger, johann christoph freytag",1995,sigmod record,53e9a1d0b7602d9702acbf58
queri multipl bioinformat data sourc can semant web research help,"david buttler, matthew coleman, terence critchlow, renato fileto, wei han, ling liu, calton pu, daniel rocco, li xiong",2002,sigmod record,53e9b6bfb7602d97042462bd
describ semistructur data,luca cardelli,2001,sigmod record,53e99813b7602d970202b96d
report on the 13th brazilian symposium on databas system sbbd98,"mario a. nascimento, claudia bauzer medeiros",1999,sigmod record,53e99e78b7602d970273a433
design and manag of data warehous report on the dmdw99 workshop,"stella gatziu, manfred a. jeusfeld, martin staudt, yannis vassiliou",1999,sigmod record,53e9b88bb7602d970445ea97
report on the 8th intern workshop on knowledg represent meet databas krdb,"maurizio lenzerini, daniele nardi, werner nutt, dan suciu",2001,sigmod record,53e9b9a0b7602d970459057d
new standard for store procedur in sql,andrew eisenberg,1996,sigmod record,53e9a995b7602d97032f0f99
understand the semant of sensor data,murali mani,2003,sigmod record,53e9b87fb7602d97044516f7
pgrid a selforgan structur p2p system,"karl aberer, philippe cudré-mauroux, anwitaman datta, zoran despotovic, manfred hauswirth, magdalena punceva, roman schmidt",2003,sigmod record,53e9a839b7602d97031824c6
close the key loophol in mls databas,"nenad jukic, svetlozar nestorov, susan v. vrbsky",2003,sigmod record,53e9a7eab7602d97031283f1
research activ in databas manag and inform retriev at the univers of illinoi at chicago,"isabel f. cruz, ashfaq a. khokhar, bing liu 0001, a. prasad sistla, ouri wolfson, clement t. yu",2002,sigmod record,53e9a727b7602d970305e97a
extract entiti profil from semistructur inform space,"robert a. nado, scott b. huffman",1997,sigmod record,53e9a9f7b7602d970335efd0
where will object techonolog drive data administr,arnon rosenthal,1998,sigmod record,53e9aed7b7602d970390222a
toward adapt workflow system cscw98 workshop report,"abraham bernstein, chrysanthos dellarocas, mark klein",1999,sigmod record,53e9abcfb7602d97035851ff
generat spatiotempor dataset on the www,"yannis theodoridis, mario a. nascimento",2000,sigmod record,53e99bc6b7602d970246db8f
normal in oodb design,byung suk lee,1995,sigmod record,53e99a74b7602d97022e39e2
manag of data and servic in the environment inform system ui of badenwürttemberg,"wolf-fritz riekert, roland mayer-föll, gerlinde wiest",1997,sigmod record,53e9addab7602d97037e07d4
an activ function servic for ebusi applic,"mariano cilia, alejandro p. buchmann",2002,sigmod record,53e9ab42b7602d97034d4ff3
the hyperion project from data integr to data coordin,"marcelo arenas, vasiliki kantere, anastasios kementsietsidis, iluju kiringa, renée j. miller, john mylopoulos",2003,sigmod record,53e9a48eb7602d9702daf1eb
research in inform manag at dublin citi univers,"mark roantree, alan f. smeaton",2002,sigmod record,53e9a9d9b7602d970333c25d
editor note,michael j. franklin,1999,sigmod record,53e99800b7602d970200b5fd
chair messag,m. tamer özsu,2004,sigmod record,53e99809b7602d970201f928
interview with rakesh agraw,marianne winslett,2003,sigmod record,53e99aa6b7602d970231ea2c
workshop on perform and architectur of web server paws2000 held in conject with sigmetrics2000,"krishna kant, prasant mohapatra",2000,sigmod record,53e99e54b7602d97027185c1
the grid an applic of the semant web,"carole a. goble, david de roure",2002,sigmod record,53e9abe4b7602d970359e217
transact inform system book review,marc h. scholl,2001,sigmod record,53e9b55eb7602d9704099d1f
automat direct and indirect schema map experi and lesson learn,"david w. embley, li xu, yihong ding",2004,sigmod record,53e9ae1cb7602d970382dc4b
deed toward a distribut and activ realtim databas system,"sten andler, jörgen hansson, joakim eriksson, jonas mellin, mikael berndtsson, bengt eftring",1996,sigmod record,53e9a593b7602d9702eb9db0
the mariposa distribut databas manag system,jeff sidell,1996,sigmod record,53e9a751b7602d970308c5f4
increment mainten of recurs view use relat calculussql,"guozhu dong, jianwen su",2000,sigmod record,53e9aa73b7602d97033e79bb
hierarchi and relat oper in the olap environ,"elaheh pourabbas, maurizio rafanelli",2000,sigmod record,53e9be5db7602d9704b1c869
contextu the inform space in feder digit librari,"mike p. papazoglou, jeroen hoppenbrouwers",1999,sigmod record,53e9af81b7602d97039c994d
chair messag,m. tamer özsu,2004,sigmod record,53e99809b7602d970201f928
detect and classif of intrus and fault use sequenc of system call,"joão b. d. cabrera, lundy m. lewis, raman k. mehra",2001,sigmod record,53e9a186b7602d9702a7c019
editor note,ling liu,2003,sigmod record,53e99800b7602d970200b604
design and user test of a multiparadigm queri interfac to an objectori databas,"dac khoa doan, norman w. paton, alistair c. kilgour",1995,sigmod record,53e9ac89b7602d970365fef8
report from the first workshop on geo sensor network,"silvia nittel, anthony stefanidis, isabel f. cruz, max j. egenhofer, dina q. goldin, a. howard, alexandros labrinidis, samuel madden, agnès voisard, michael f. worboys",2004,sigmod record,53e9ad18b7602d97036f6d04
realtim index concurr control,"jayant r. haritsa, s. seshadri",1996,sigmod record,53e9ad92b7602d970378f854
the trig activ objectori databas system an overview,"gerti kappel, werner retschitzegger",1998,sigmod record,53e9b6eeb7602d970428277b
editor farewel note,arie segev,1995,sigmod record,53e99a1ab7602d970226c372
pixelori databas visual,daniel a. keim,1996,sigmod record,53e99b36b7602d97023d5c86
an extens notat for spatiotempor index queri,"vassilis j. tsotras, christian s. jensen, richard t. snodgrass",1998,sigmod record,53e9ba11b7602d970461689e
energi and rate base mac protocol for wireless sensor network,"rajgopal kannan, ramaraju kalidindi, s. sitharama iyengar, vijay kumar",2003,sigmod record,53e9a3f5b7602d9702d0f275
enhanc extern consist in realtim transact,"kwei-jay lin, shing-shan peng",1996,sigmod record,53e9a25cb7602d9702b657f2
inform warfar and secur book review,h. v. jagadish,2001,sigmod record,53e9b621b7602d9704179194
optim jan jannink implement of btree delet,"r. maelbrancke, h. olivie",1995,sigmod record,53e99cd8b7602d970258b387
sigmod2000 program chair messag,jeffrey f. naughton,2000,sigmod record,53e9b3c8b7602d9703eb6386
edgar f codd a tribut and person memoir,c. j. date,2003,sigmod record,53e99ed2b7602d970279f357
brand yourself,"richard t. snodgrass, merrie brucks",2004,sigmod record,53e9979eb7602d9701f6e878
introduct to the career forum column,alexandros labrinidis,2001,sigmod record,53e9b716b7602d97042af1f4
team communic among autonom sensor swarm,"mario gerla, yunjung yi",2004,sigmod record,53e9b326b7602d9703df52e8
an earli look at xqueri,"jim melton, andrew eisenberg",2002,sigmod record,53e9ab00b7602d97034842b9
design and implement of rmp a virtual electron market place,"susanne boll, wolfgang klas, bernard battaglin",1998,sigmod record,53e9b505b7602d970403963f
an extend entityrelationship model for geograph applic,"thanasis hadzilacos, nectaria tryfona",1997,sigmod record,53e9b55eb7602d97040990b7
combin fuzzi inform an overview,ronald fagin,2002,sigmod record,53e9ac2db7602d97035eea81
an earli look at xqueri api for java xqj,"andrew eisenberg, jim melton",2004,sigmod record,53e9a335b7602d9702c3bf4a
scienc of design for inform system report of the nsf workshop seattl 2003,unamed,2004,sigmod record,53e9bd45b7602d97049d3ab5
open issu in parallel queri optim,"waqar hasan, daniela florescu, patrick valduriez",1996,sigmod record,53e9b4b4b7602d9703fc847e
replica alloc for correl data item in ad hoc sensor network,"takahiro hara, norishige murakami, shojiro nishio",2004,sigmod record,53e9a3e1b7602d9702cf62c3
the piazza peer data manag project,"igor tatarinov, zachary g. ives, jayant madhavan, alon y. halevy, dan suciu, nilesh n. dalvi, xin dong 0001, yana kadiyska, gerome miklau, peter mork",2003,sigmod record,53e9a2ceb7602d9702bd676a
reminisc on influenti paper,"kenneth a. ross, jiawei han, nick koudas, rajeev rastogi, daniel j. rosenkrantz, peter scheuermann, dan suciu",2001,sigmod record,53e99b0ab7602d970239c211
vice chair messag,z. meral özsoyoglu,2000,sigmod record,53e99ac4b7602d97023410ed
call for paper and announc,unamed,1995,sigmod record,53e9ac28b7602d97035ed764
advanc in realtim databas system research,azer bestavros,1996,sigmod record,53e9a487b7602d9702da2c2d
report on the 1995 intern workshop on tempor databas,"arie segev, christian s. jensen, richard t. snodgrass",1995,sigmod record,53e9ac8fb7602d9703664b1b
guest editor introduct,"robert meersman, amit p. sheth",2002,sigmod record,53e99aacb7602d9702325e77
xqueri formal semant state and challeng,peter fankhauser,2001,sigmod record,53e9ada5b7602d97037a5b84
report on the nsf workshop on build an infrastructur for mobil and wireless system,"birgitta könig-ries, kia makki, s. a. m. makki, charles e. perkins, niki pissinou, peter l. reiher, peter scheuermann, jari veijalainen, ouri wolfson",2002,sigmod record,53e9b02fb7602d9703a89c6c
some remark on variabl independ closur and orthograph dimens in constraint databas,leonid libkin,1999,sigmod record,53e9bb08b7602d970473fd12
the ntier hub technolog,"rainer a. sommer, thomas r. gulledge, david bailey",2002,sigmod record,53e9b577b7602d97040b62bf
the sensor spectrum technolog trend and requir,"joseph m. hellerstein, wei hong, samuel madden",2003,sigmod record,53e9b2aab7602d9703d503ff
the aggreg data problem a system for their definit and manag,"maurizio rafanelli, antonia bezenchek, leonardo tininini",1996,sigmod record,53e9ab14b7602d970349a602
model tempor themat map content,"alberto d'onofrio, elaheh pourabbas",2003,sigmod record,53e9b01db7602d9703a78e4f
acmsigmod digit review,h. v. jagadish,2000,sigmod record,53e99a52b7602d97022b6cc9
ogdi toward interoper among geospati databas,"gilles clement, christian larouche, denis gouin, paul morin, henry kucera",1997,sigmod record,53e9af81b7602d97039c5260
wireless clientserv comput for person inform servic and applic,"ahmed k. elmagarmid, jin jing, tetsuya furukawa",1995,sigmod record,53e9b41ab7602d9703f11e2a
spire a progress contentbas spatial imag retriev engin,"chung-sheng li, lawrence d. bergman, vittorio castelli, john r. smith",2000,sigmod confer,53e9b991b7602d970457f9f7
increment and effect data summar for dynam hierarch cluster,"samer nassar, jörg sander, corrine cheng",2004,sigmod confer,53e9b45eb7602d9703f5ce0d
trex dtdconform xml to xml transform,"aoying zhou, qing wang, zhimao guo, xueqing gong, shihui zheng, hongwei wu, jianchang xiao, kun yue, wenfei fan",2003,sigmod confer,53e9b9e1b7602d97045dcb59
dbswitch™ toward a databas util,"shaul dar, gil hecht, eden shochat",2004,sigmod confer,53e9abbeb7602d970356de2c
approxim xml queri answer,"neoklis polyzotis, minos n. garofalakis, yannis e. ioannidis",2004,sigmod confer,53e99a57b7602d97022be053
fractal prefetch b±tree optim both cach and disk perform,"shimin chen, phillip b. gibbons, todd c. mowry, gary valentin",2002,sigmod confer,53e9a711b7602d9703046022
recoveri protocol for share memori databas system,"lory d. molesky, krithi ramamritham",1995,sigmod confer,53e9b52db7602d9704064df2
oracl rdbs record cach model,"richard anderson, gopalan arun, richard frank",1998,sigmod confer,53e9afe8b7602d9703a39679
a framework for support data integr use the materi and virtual approach,"richard hull, gang zhou",1996,sigmod confer,53e9b32bb7602d9703df9017
an index framework for peertop system,"adina crainiceanu, prakash linga, ashwin machanavajjhala, johannes gehrke, jayavel shanmugasundaram",2004,sigmod confer,53e9b634b7602d970418ce3b
from brows to interact dbms support for respon websit abstract,raghu ramakrishnan,2000,sigmod confer,53e9a12ab7602d9702a18ed2
data qualiti and data clean an overview,"theodore johnson, tamraparni dasu",2003,sigmod confer,53e9bbc2b7602d9704811883
general match a subsequ match method in timeseri databas base on general window,"yang-sae moon, kyu-young whang, wook-shin han",2002,sigmod confer,53e9bc0ab7602d970486e1e4
olymp record for data at the 1998 nagano game,edwin r. lassettre,1998,sigmod confer,53e9bc21b7602d970488dcdb
vertic and horizont percentag aggreg,carlos ordonez,2004,sigmod confer,53e9b40eb7602d9703f06558
tutori design an ultra high avail dbms,"svein erik bratsberg, øystein torbjørnsen",2000,sigmod confer,53e9b8dab7602d97044bb2df
the prioriti rtree a practic effici and worstcas optim rtree,"lars arge, mark de berg, herman j. haverkort, ke yi",2004,sigmod confer,53e9b7fcb7602d97043ab826
about quark digit media system,kamar aulakh,1998,sigmod confer,53e9ab25b7602d97034afa23
cougar the network is the databas,"wai fu fung, david sun, johannes gehrke",2002,sigmod confer,53e999eeb7602d9702231c4b
peerdb peer into person databas,"beng chin ooi, kian-lee tan, aoying zhou, chin hong goh, yingguang li, chu yee liau, bo ling, wee siong ng, yanfeng shu, xiaoyu wang, ming zhang",2003,sigmod confer,53e9aed7b7602d9703900d1d
yoohoo build a presenc servic with xqueri and wsdl,"mary f. fernández, nicola onose, jérôme siméon",2004,sigmod confer,53e9b9a6b7602d97045987b1
ubiquit selftun scalabl server,peter m. spiro,1998,sigmod confer,53e9b3b7b7602d9703e9f4f3
xpress a queriabl compress for xml data,"jun-ki min, myung-jae park, chin-wan chung",2003,sigmod confer,53e99c12b7602d97024be997
design and mine multiterabyt astronomi archiv the sloan digit sky survey,"alexander s. szalay, peter z. kunszt, ani thakar, jim gray, donald r. slutz, robert j. brunner",2000,sigmod confer,53e9a246b7602d9702b4b534
mine databas structur or how to build a data qualiti browser,"tamraparni dasu, theodore johnson, s. muthukrishnan, vladislav shkapenyuk",2002,sigmod confer,53e9ac55b7602d9703627eab
clientsit queri extens,"tobias mayr, praveen seshadri",1999,sigmod confer,53e999f5b7602d970223e747
buffer databas oper for enhanc instruct cach perform,"jingren zhou, kenneth a. ross",2004,sigmod confer,53e9ae63b7602d970387e5fb
gigascop a stream databas for network applic,"charles d. cranor, theodore johnson, oliver spatscheck, vladislav shkapenyuk",2003,sigmod confer,53e9acfeb7602d97036df583
rainbow mappingdriven xqueri process system,"xin zhang 0002, mukesh mulchandani, steffen christ, brian murphy, elke a. rundensteiner",2002,sigmod confer,53e9a8ffb7602d970324e54a
the pointcast network,"satish ramakrishnan, vibha dayal",1998,sigmod confer,53e99853b7602d970208a66e
count enumer and sampl of execut plan in a costbas queri optim,"florian waas, césar a. galindo-legaria",2000,sigmod confer,53e99db7b7602d970267495d
a databas perspect on lotus dominonot,c. mohan,1999,sigmod confer,53e9b20cb7602d9703ca745a
illumin the dark side of web servic,michael l. brodie,2003,vldb,53e9a34ab7602d9702c5457c
inform manag for genom level bioinformat,"norman w. paton, carole a. goble",2001,vldb,53e9bbeab7602d970484131b
network queri process for distribut streambas applic,"yanif ahmad, ugur çetintemel",2004,vldb,53e9a12ab7602d9702a19db5
data compress in oracl,"meikel pöss, dmitry potapov",2003,vldb,53e99a04b7602d970224f8e9
logic and physic version in main memori databas,"rajeev rastogi, s. seshadri, philip bohannon, dennis w. leinbaugh, abraham silberschatz, s. sudarshan 0001",1997,vldb,53e9b65bb7602d97041bca35
dissemin updat on broadcast disk,"swarup acharya, michael j. franklin, stanley b. zdonik",1996,vldb,53e9abc9b7602d970357f9b1
xml repositori and activ view demonstr,"serge abiteboul, vincent aguilera, sébastien ailleret, bernd amann, sophie cluet, brendan hills, frédéric hubert, jean-claude mamou, amélie marian, laurent mignet, tova milo, cassio souza dos santos, bruno tessier, anne-marie vercoustre",1999,vldb,53e9bb6cb7602d97047ac179
a novel index support high volum data warehous insert,"chris jermaine, anindya datta, edward omiecinski",1999,vldb,53e9a2c8b7602d9702bd1d84
queri process in spatial network databas,"dimitris papadias, jun zhang 0005, nikos mamoulis, yufei tao",2003,vldb,53e9b4b4b7602d9703fcbc3d
further improv on integr constraint check for stratifi deduct databas,"sin yeung lee, tok wang ling",1996,vldb,53e9a186b7602d9702a77d44
compos map among data sourc,"jayant madhavan, alon y. halevy",2003,vldb,53e9ac62b7602d97036346d9
mine surpris pattern use tempor descript length,"soumen chakrabarti, sunita sarawagi, byron dom",1998,vldb,53e9a335b7602d9702c41366
toward learn base web queri process,"yanlei diao, hongjun lu, songting chen, zengping tian",2000,vldb,53e9a584b7602d9702eac3cb
hypothet queri in an olap environ,"andrey balmin, thanos papadimitriou, yannis papakonstantinou",2000,vldb,53e9ac8fb7602d9703666e4e
hyperqueri dynam distribut queri process on the internet,"alfons kemper, christian wiesner",2001,vldb,53e9ba90b7602d97046b9215
1safe algorithm for symmetr site configur,"rune humborstad, maitrayi sabaratnam, svein-olaf hvasshovd, øystein torbjørnsen",1997,vldb,53e9b241b7602d9703ce221d
concurr garbag collect in o2,"marcin skubiszewski, patrick valduriez",1997,vldb,53e9ac2eb7602d97035f076b
join rank input in practic,"ihab f. ilyas, walid g. aref, ahmed k. elmagarmid",2002,vldb,53e9b0abb7602d9703b1ae51
statstream statist monitor of thousand of data stream in real time,"yunyue zhu, dennis shasha",2002,vldb,53e9bb22b7602d970475b243
index and queri xml data for regular path express,"quanzhong li, bongki moon",2001,vldb,53e9a58bb7602d9702eb23b4
activ storag for largescal data mine and multimedia,"erik riedel, garth a. gibson, christos faloutsos",1998,vldb,53e9a6cab7602d9702ffc5f7
distribut topn queri process with possibl uncoop local system,"clement t. yu, george philip, weiyi meng",2003,vldb,53e99eb5b7602d970277e6a0
estim the output cardin of partial preaggreg with a measur of clustered,"sven helmer, thomas neumann 0001, guido moerkotte",2003,vldb,53e9b3d4b7602d9703ebf408
ibm db2 univers databas demonstr at vldb98,"k. bernhard schiefer, jim kleewein, karen brannon, guy m. lohman, gene fuh",1998,vldb,53e9ba64b7602d970467fd48
qstream determinist queri of data stream,"sven schmidt, henrike berthold, wolfgang lehner",2004,vldb,53e9b93eb7602d9704527232
generat calllevel interfac for advanc databas applic program,"udo nink, theo härder, norbert ritter",1999,vldb,53e9ab31b7602d97034bb265
effici increment garbag collect for clientserv object databas system,"laurent amsaleg, michael j. franklin, olivier gruber",1995,vldb,53e9ba17b7602d970461fe2d
agora live with xml and relat,"ioana manolescu, daniela florescu, donald kossmann, florian xhumari, dan olteanu",2000,vldb,53e99bdcb7602d9702485bfd
a regressionbas tempor pattern mine scheme for data stream,"wei-guang teng, ming-syan chen, philip s. yu",2003,vldb,53e9a86ab7602d97031b90c7
semant compress and pattern extract with fascicl,"h. v. jagadish, j. madar, raymond t. ng",1999,vldb,53e9adc7b7602d97037cc2f7
databas in a wireless world,david yach,2004,vldb,53e9ab89b7602d9703535629
metric for access heterogen data is there ani hope panel,"leonard j. seligman, nicholas j. belkin, erich j. neuhold, michael stonebraker, gio wiederhold",1995,vldb,53e9b04eb7602d9703aae87b
dynam memori adjust for extern mergesort,"weiye zhang, per-åke larson",1997,vldb,53e9b34ab7602d9703e23a05
consist base snapshot manag in data grid,lutz schlesinger,2003,vldb phd workshop,53e99f27b7602d97027f1cce
applic server and associ technolog,c. mohan,2002,vldb,53e9ab69b7602d970350a4e7
cach conscious index for decisionsupport in main memori,"jun rao, kenneth a. ross",1999,vldb,53e9bdc6b7602d9704a737d2
queri continu time sequenc,"ling lin, tore risch",1998,vldb,53e99b3cb7602d97023d98ac
build scalabl internet applic with oracle8i server,"julie basu, josé alberto fernández, olga peschansky",2000,vldb,53e9b4e4b7602d970400d1d1
use formal method to reason about semanticsbas decomposit of transact,"paul ammann, sushil jajodia, indrakshi ray",1995,vldb,53e9b505b7602d970403b139
aggreg mainten for data wareh in informix red brick vista,"craig j. bunker, latha s. colby, richard l. cole, william j. mckenna, gopal mulagund, david wilhite",2001,vldb,53e9af8eb7602d97039d83e2
sprint a scalabl parallel classifi for data mine,"john c. shafer, rakesh agrawal, manish mehta 0002",1996,vldb,53e9a2acb7602d9702bb4ec0
support statewid immunis track use multiparadigm workflow technolog,"amit p. sheth, krys kochut, john a. miller, devashish worah, souvik das, chenye lin, devanand palaniswami, john lynch, ivan shevchenko",1996,vldb,53e9ae7db7602d9703898153
zoo a desktop experi manag environ,"yannis e. ioannidis, miron livny, shivani gupta, nagavamsi ponnekanti",1996,vldb,53e9a58cb7602d9702eb6a96
heterogen databas queri optim in db2 univers datajoin,"shivakumar venkataraman, tian zhang",1998,vldb,53e9ba4eb7602d9704662886
integr trigger and declar constraint in sql databas sytem,"roberta cochrane, hamid pirahesh, nelson mendonça mattos",1996,vldb,53e9a73cb7602d970307356c
hyperprogram in java,"evangelos zirintsis, graham n. c. kirby, ronald morrison",1999,vldb,53e99ab3b7602d970232f7a7
hardwar acceler in commerci databas a case studi of spatial oper,"nagender bandi, chengyu sun, amr el abbadi, divyakant agrawal",2004,vldb,53e9b8f5b7602d97044d7b07
optim histogram with qualiti guarante,"h. v. jagadish, nick koudas, s. muthukrishnan, viswanath poosala, kenneth c. sevcik, torsten suel",1998,vldb,53e9ae17b7602d970382881d
local dimension reduct a new approach to index high dimension space,"kaushik chakrabarti, sharad mehrotra",2000,vldb,53e9b289b7602d9703d2f078
gorder an effici method for knn join process,"chenyi xia, hongjun lu, beng chin ooi, jin hu",2004,vldb,53e9a0fcb7602d97029e9bbf
cach portal technolog for acceler databasedriven ecommerc web site,"wen-syan li, k. selçuk candan, wang-pin hsiung, oliver po, divyakant agrawal, qiong luo, wei-kuang waine huang, yusuf akca, cemal yilmaz",2001,vldb,53e9ba1cb7602d97046233f4
walk through a veri larg virtual environ in realtim,"lidan shou, jason chionh, zhiyong huang, yixin ruan, kian-lee tan",2001,vldb,53e9a5cdb7602d9702efa3e1
gte superpag use ir techniqu for search complex object,"steven d. whitehead, himanshu sinha, michael murphy",1997,vldb,53e9b8a1b7602d970447a651
